Nume,Tip,Judet,UAT
Iași,Municipiul,Iași,Primăria Municipiului Iași
Tomești,Comuna,Iași,Primăria Comunei Tomești
Miroslava,Comuna,Iași,Primăria Comunei Miroslava
Rediu,Comuna,Iași,Primăria Comunei Rediu
Aroneanu,Comuna,Iași,Primăria Comunei Aroneanu
Bârnova,Comuna,Iași,Primăria Comunei Bârnova
Valea Lupului,Comuna,Iași,Primăria Comunei Valea Lupului
Holboca,Comuna,Iași,Primăria Comunei Holboca
Ciurea,Comuna,Iași,Primăria Comunei Ciurea
Pașcani,Municipiul,Iași,Primăria Municipiului Pașcani
Hârlău,Orașul,Iași,Primăria Orașului Hârlău
Podu Iloaiei,Orașul,Iași,Primăria Orașului Podu Iloaiei
Târgu Frumos,Orașul,Iași,Primăria Orașului Târgu Frumos
Alexandru I. Cuza,Comuna,Iași,Primăria Comunei Alexandru I. Cuza
Andrieșeni,Comuna,Iași,Primăria Comunei Andrieșeni
Balș,Comuna,Iași,Primăria Comunei Balș
Bălțați,Comuna,Iași,Primăria Comunei Bălțați
Belcești,Comuna,Iași,Primăria Comunei Belcești
Bivolari,Comuna,Iași,Primăria Comunei Bivolari
Brăești,Comuna,Iași,Primăria Comunei Brăești
Butea,Comuna,Iași,Primăria Comunei Butea
Ceplenița,Comuna,Iași,Primăria Comunei Ceplenița
Ciohorăni,Comuna,Iași,Primăria Comunei Ciohorăni
Ciortești,Comuna,Iași,Primăria Comunei Ciortești
Coarnele Caprei,Comuna,Iași,Primăria Comunei Coarnele Caprei
Comarna,Comuna,Iași,Primăria Comunei Comarna
Costești,Comuna,Iași,Primăria Comunei Costești
Costuleni,Comuna,Iași,Primăria Comunei Costuleni
Cotnari,Comuna,Iași,Primăria Comunei Cotnari
Cozmești,Comuna,Iași,Primăria Comunei Cozmești
Cristești,Comuna,Iași,Primăria Comunei Cristești
Cucuteni,Comuna,Iași,Primăria Comunei Cucuteni
Dagâța,Comuna,Iași,Primăria Comunei Dagâța
Deleni,Comuna,Iași,Primăria Comunei Deleni
Dobrovăț,Comuna,Iași,Primăria Comunei Dobrovăț
Dolhești,Comuna,Iași,Primăria Comunei Dolhești
Drăgușeni,Comuna,Iași,Primăria Comunei Drăgușeni
Dumești,Comuna,Iași,Primăria Comunei Dumești
Erbiceni,Comuna,Iași,Primăria Comunei Erbiceni
Fântânele,Comuna,Iași,Primăria Comunei Fântânele
Focuri,Comuna,Iași,Primăria Comunei Focuri
Golăiești,Comuna,Iași,Primăria Comunei Golăiești
Gorban,Comuna,Iași,Primăria Comunei Gorban
Grajduri,Comuna,Iași,Primăria Comunei Grajduri
Gropnița,Comuna,Iași,Primăria Comunei Gropnița
Grozești,Comuna,Iași,Primăria Comunei Grozești
Hălăucești,Comuna,Iași,Primăria Comunei Hălăucești
Hărmănești,Comuna,Iași,Primăria Comunei Hărmănești
Heleșteni,Comuna,Iași,Primăria Comunei Heleșteni
Horlești,Comuna,Iași,Primăria Comunei Horlești
Ion Neculce,Comuna,Iași,Primăria Comunei Ion Neculce
Ipatele,Comuna,Iași,Primăria Comunei Ipatele
Lespezi,Comuna,Iași,Primăria Comunei Lespezi
Lețcani,Comuna,Iași,Primăria Comunei Lețcani
Lungani,Comuna,Iași,Primăria Comunei Lungani
Mădârjac,Comuna,Iași,Primăria Comunei Mădârjac
Mircești,Comuna,Iași,Primăria Comunei Mircești
Mironeasa,Comuna,Iași,Primăria Comunei Mironeasa
Miroslovești,Comuna,Iași,Primăria Comunei Miroslovești
Mogoșești,Comuna,Iași,Primăria Comunei Mogoșești
Mogoșești-Siret,Comuna,Iași,Primăria Comunei Mogoșești-Siret
Moșna,Comuna,Iași,Primăria Comunei Moșna
Moțca,Comuna,Iași,Primăria Comunei Moțca
Movileni,Comuna,Iași,Primăria Comunei Movileni
Oțeleni,Comuna,Iași,Primăria Comunei Oțeleni
Plugari,Comuna,Iași,Primăria Comunei Plugari
Popești,Comuna,Iași,Primăria Comunei Popești
Popricani,Comuna,Iași,Primăria Comunei Popricani
Prisăcani,Comuna,Iași,Primăria Comunei Prisăcani
Probota,Comuna,Iași,Primăria Comunei Probota
Răchiteni,Comuna,Iași,Primăria Comunei Răchiteni
Răducăneni,Comuna,Iași,Primăria Comunei Răducăneni
Românești,Comuna,Iași,Primăria Comunei Românești
Roșcani,Comuna,Iași,Primăria Comunei Roșcani
Ruginoasa,Comuna,Iași,Primăria Comunei Ruginoasa
Scânteia,Comuna,Iași,Primăria Comunei Scânteia
Schitu Duca,Comuna,Iași,Primăria Comunei Schitu Duca
Scobinți,Comuna,Iași,Primăria Comunei Scobinți
Sinești,Comuna,Iași,Primăria Comunei Sinești
Sirețel,Comuna,Iași,Primăria Comunei Sirețel
Stolniceni-Prăjescu,Comuna,Iași,Primăria Comunei Stolniceni-Prăjescu
Strunga,Comuna,Iași,Primăria Comunei Strunga
Șcheia,Comuna,Iași,Primăria Comunei Șcheia
Șipote,Comuna,Iași,Primăria Comunei Șipote
Tansa,Comuna,Iași,Primăria Comunei Tansa
Tătăruși,Comuna,Iași,Primăria Comunei Tătăruși
Todirești,Comuna,Iași,Primăria Comunei Todirești
Trifești,Comuna,Iași,Primăria Comunei Trifești
Țibana,Comuna,Iași,Primăria Comunei Țibana
Țibănești,Comuna,Iași,Primăria Comunei Țibănești
Țigănași,Comuna,Iași,Primăria Comunei Țigănași
Țuțora,Comuna,Iași,Primăria Comunei Țuțora
Ungheni,Comuna,Iași,Primăria Comunei Ungheni
Valea Seacă,Comuna,Iași,Primăria Comunei Valea Seacă
Vânători,Comuna,Iași,Primăria Comunei Vânători
Victoria,Comuna,Iași,Primăria Comunei Victoria
Vlădeni,Comuna,Iași,Primăria Comunei Vlădeni
Voinești,Comuna,Iași,Primăria Comunei Voinești
